cas	vrednost	ekstrem
26.11.2014 11:00:00	267.5	MAX
26.11.2014 17:20:00	190.4	MIN
27.11.2014 00:10:00	264.9	MAX
27.11.2014 06:50:00	228.6	NV2
27.11.2014 11:30:00	262.7	VV2
27.11.2014 18:30:00	201.3	MIN
28.11.2014 01:50:00	265.2	MAX
28.11.2014 07:40:00	231.3	NV2
28.11.2014 13:10:00	259.6	VV2
28.11.2014 19:00:00	218.2	MIN
29.11.2014 02:50:00	277.4	MAX
29.11.2014 09:00:00	237.4	NV2
29.11.2014 14:10:00	249.9	VV2
29.11.2014 21:00:00	217.2	MIN
30.11.2014 04:50:00	273.2	MAX
30.11.2014 11:10:00	222.6	MIN
30.11.2014 17:10:00	262.3	VV2
01.12.2014 05:40:00	304.9	MAX
01.12.2014 12:10:00	249.9	VV2
01.12.2014 13:50:00	238.9	MIN
02.12.2014 00:40:00	213.9	MIN
02.12.2014 06:30:00	299.5	MAX
02.12.2014 13:20:00	215	NV2
02.12.2014 18:50:00	272.6	VV2
03.12.2014 07:00:00	310.4	MAX
03.12.2014 13:50:00	204.8	MIN
03.12.2014 20:10:00	272.2	VV2
04.12.2014 00:40:00	233.2	NV2
04.12.2014 07:00:00	305.6	MAX
04.12.2014 14:10:00	189	MIN
04.12.2014 20:50:00	279.2	VV2
05.12.2014 01:20:00	238.9	NV2
05.12.2014 08:20:00	301.4	MAX
05.12.2014 15:10:00	185.9	MIN
05.12.2014 21:40:00	292.5	VV2
06.12.2014 03:10:00	233.9	NV2
06.12.2014 08:40:00	299.4	MAX
06.12.2014 15:30:00	184	MIN
06.12.2014 21:50:00	287.4	VV2
07.12.2014 03:10:00	224.1	NV2
07.12.2014 09:20:00	291.6	MAX
07.12.2014 15:50:00	180	MIN
07.12.2014 22:20:00	278.4	VV2
08.12.2014 04:10:00	219	NV2
08.12.2014 10:10:00	283.2	MAX
08.12.2014 16:20:00	175.9	MIN
08.12.2014 23:10:00	271.1	VV2
09.12.2014 04:20:00	223.2	NV2
09.12.2014 09:30:00	269.5	MAX
09.12.2014 16:40:00	169.6	MIN
09.12.2014 23:50:00	250	VV2
10.12.2014 05:10:00	218	NV2
10.12.2014 11:00:00	261.5	MAX
10.12.2014 17:40:00	182.9	MIN
11.12.2014 01:10:00	268.5	MAX
11.12.2014 06:00:00	228.2	NV2
11.12.2014 11:20:00	265.7	VV2
11.12.2014 17:10:00	188.4	MIN
12.12.2014 00:40:00	259.6	MAX
12.12.2014 06:40:00	213.6	NV2
12.12.2014 10:20:00	243.8	VV2
12.12.2014 17:30:00	208.3	MIN
13.12.2014 01:30:00	258.4	MAX
13.12.2014 08:20:00	221.3	NV2
13.12.2014 12:50:00	236.7	VV2
13.12.2014 18:50:00	210.9	MIN
14.12.2014 02:40:00	255.7	MAX
14.12.2014 08:30:00	218.5	NV2
14.12.2014 14:00:00	234.4	VV2
14.12.2014 21:50:00	213.2	MIN
15.12.2014 03:40:00	256.2	MAX
15.12.2014 09:50:00	217.3	MIN
15.12.2014 13:40:00	226.7	NV2
15.12.2014 15:20:00	233.5	VV2
